userId,sex_cd,age5_band,pfgn1,pfgn2,avg_wtch_cnt,avg_fwtch_cnt,avg_buy_cnt,avg_buy_amt,price_band
2170620408,MALE,7.0,극장판 애니,액션,7.0,2.0,3.0,6334.0,2714.0
2170679936,FEMALE,8.0,로맨스,스릴러,4.0,2.0,2.0,5100.0,2550.0
2170885913,MALE,9.0,드라마,코미디,1.0,0.0,1.0,4267.0,4267.0
2170890829,MALE,8.0,드라마,액션,5.0,2.0,3.0,6500.0,2786.0
2171079663,MALE,4.0,드라마,액션,2.0,1.0,2.0,6300.0,4725.0
2171506098,FEMALE,8.0,극장판 애니,액션,2.0,0.0,1.0,5667.0,5667.0
2171925596,FEMALE,11.0,액션,코미디,2.0,0.0,2.0,6500.0,3900.0
2172561741,FEMALE,9.0,극장판 애니,성인,3.0,1.0,2.0,5834.0,4375.0
2172685147,FEMALE,8.0,드라마,코미디,3.0,1.0,2.0,7967.0,3983.0
2172813210,MALE,7.0,액션,드라마,2.0,1.0,1.0,6134.0,6133.0
217338153,FEMALE,9.0,성인,스릴러,4.0,1.0,4.0,8800.0,2400.0
2173541298,FEMALE,11.0,드라마,액션,5.0,3.0,2.0,5300.0,3975.0
2173628526,MALE,14.0,드라마,0,5.0,4.0,1.0,4467.0,4467.0
2174165940,MALE,8.0,드라마,극장판 애니,5.0,2.0,2.0,5900.0,3540.0
2174260779,FEMALE,7.0,드라마,극장판 애니,11.0,2.0,2.0,5100.0,2550.0
2175703391,FEMALE,5.0,드라마,액션,2.0,0.0,2.0,5100.0,3825.0
2175715747,FEMALE,10.0,드라마,코미디,2.0,0.0,2.0,4500.0,3375.0
2176614980,MALE,10.0,액션,드라마,6.0,2.0,3.0,7900.0,3386.0
2176791010,FEMALE,11.0,액션,드라마,4.0,1.0,3.0,5567.0,2386.0
2177313608,FEMALE,10.0,액션,성인,2.0,0.0,2.0,6667.0,4000.0
2177550593,MALE,6.0,드라마,스릴러,2.0,0.0,2.0,6550.0,4913.0
2177665519,FEMALE,8.0,성인,0,2.0,1.0,2.0,5000.0,3000.0
2178069354,FEMALE,11.0,극장판 애니,액션,4.0,1.0,3.0,7334.0,3143.0
217823017,FEMALE,9.0,액션,SF/판타지,2.0,0.0,2.0,6667.0,5000.0
2178311828,FEMALE,10.0,액션,드라마,3.0,1.0,2.0,5300.0,3180.0
217914756,FEMALE,9.0,드라마,액션,2.0,1.0,2.0,5834.0,4375.0
